email,userType,password,name,bio,phoneNumber
zita@ucla.edu,USER,password,Zita,Zita's bio,123456789
lowell@ucla.edu,USER,password,Lowell,Lowell's bio,123456789
carolann@ucla.edu,USER,password,Carolann,Carolann's bio,123456789
devonte@ucla.edu,USER,password,Devonte,Devonte's bio,123456789
irwin@ucla.edu,USER,password,Irwin,Irwin's bio,123456789
treva@ucla.edu,USER,password,Treva,Treva's bio,123456789
osborne@ucla.edu,USER,password,Osborne,Osborne's bio,123456789
kaelyn@ucla.edu,USER,password,Kaelyn,Kaelyn's bio,123456789
clifford@ucla.edu,USER,password,Clifford,Clifford's bio,123456789
ardelia@ucla.edu,USER,password,Ardelia,Ardelia's bio,123456789
bradford@ucla.edu,USER,password,Bradford,Bradford's bio,123456789
gaylord@ucla.edu,USER,password,Gaylord,Gaylord's bio,123456789
shayla@ucla.edu,USER,password,Shayla,Shayla's bio,123456789
lesly@ucla.edu,USER,password,Lesly,Lesly's bio,123456789
barron@ucla.edu,USER,password,Barron,Barron's bio,123456789
theta@ucla.edu,USER,password,Theta,Theta's bio,123456789
ceola@ucla.edu,USER,password,Ceola,Ceola's bio,123456789
ayleen@ucla.edu,USER,password,Ayleen,Ayleen's bio,123456789
hubert@ucla.edu,USER,password,Hubert,Hubert's bio,123456789
deric@ucla.edu,USER,password,Deric,Deric's bio,123456789
donna@ucla.edu,USER,password,Donna,Donna's bio,123456789
son@ucla.edu,USER,password,Son,Son's bio,123456789
colter@ucla.edu,USER,password,Colter,Colter's bio,123456789
bedford@ucla.edu,USER,password,Bedford,Bedford's bio,123456789
haley@ucla.edu,USER,password,Haley,Haley's bio,123456789
eleanora@ucla.edu,USER,password,Eleanora,Eleanora's bio,123456789
concepcion@ucla.edu,USER,password,Concepcion,Concepcion's bio,123456789
talmadge@ucla.edu,USER,password,Talmadge,Talmadge's bio,123456789
alvah@ucla.edu,USER,password,Alvah,Alvah's bio,123456789
cheryle@ucla.edu,USER,password,Cheryle,Cheryle's bio,123456789
brenna@ucla.edu,USER,password,Brenna,Brenna's bio,123456789
jarett@ucla.edu,USER,password,Jarett,Jarett's bio,123456789
ireland@ucla.edu,USER,password,Ireland,Ireland's bio,123456789
alice@ucla.edu,USER,password,Alice,Alice's bio,123456789
harvey@ucla.edu,USER,password,Harvey,Harvey's bio,123456789
major@ucla.edu,USER,password,Major,Major's bio,123456789
malissie@ucla.edu,USER,password,Malissie,Malissie's bio,123456789
saundra@ucla.edu,USER,password,Saundra,Saundra's bio,123456789
grady@ucla.edu,USER,password,Grady,Grady's bio,123456789
katharina@ucla.edu,USER,password,Katharina,Katharina's bio,123456789
hannah@ucla.edu,USER,password,Hannah,Hannah's bio,123456789
bette@ucla.edu,USER,password,Bette,Bette's bio,123456789
eric@ucla.edu,USER,password,Eric,Eric's bio,123456789
patty@ucla.edu,USER,password,Patty,Patty's bio,123456789
burnie@ucla.edu,USER,password,Burnie,Burnie's bio,123456789
bria@ucla.edu,USER,password,Bria,Bria's bio,123456789
jerusha@ucla.edu,USER,password,Jerusha,Jerusha's bio,123456789
brien@ucla.edu,USER,password,Brien,Brien's bio,123456789
rhett@ucla.edu,USER,password,Rhett,Rhett's bio,123456789
stacy@ucla.edu,USER,password,Stacy,Stacy's bio,123456789
phylicia@ucla.edu,USER,password,Phylicia,Phylicia's bio,123456789
ross@ucla.edu,USER,password,Ross,Ross's bio,123456789
conway@ucla.edu,USER,password,Conway,Conway's bio,123456789
tyrin@ucla.edu,USER,password,Tyrin,Tyrin's bio,123456789
khiry@ucla.edu,USER,password,Khiry,Khiry's bio,123456789
lynn@ucla.edu,USER,password,Lynn,Lynn's bio,123456789
hunt@ucla.edu,USER,password,Hunt,Hunt's bio,123456789
ham@ucla.edu,USER,password,Ham,Ham's bio,123456789
tammie@ucla.edu,USER,password,Tammie,Tammie's bio,123456789
dariana@ucla.edu,USER,password,Dariana,Dariana's bio,123456789
vito@ucla.edu,USER,password,Vito,Vito's bio,123456789
camren@ucla.edu,USER,password,Camren,Camren's bio,123456789
bolden@ucla.edu,USER,password,Bolden,Bolden's bio,123456789
anders@ucla.edu,USER,password,Anders,Anders's bio,123456789
ernesto@ucla.edu,USER,password,Ernesto,Ernesto's bio,123456789
shirlee@ucla.edu,USER,password,Shirlee,Shirlee's bio,123456789
rick@ucla.edu,USER,password,Rick,Rick's bio,123456789
elbridge@ucla.edu,USER,password,Elbridge,Elbridge's bio,123456789
dalvin@ucla.edu,USER,password,Dalvin,Dalvin's bio,123456789
burney@ucla.edu,USER,password,Burney,Burney's bio,123456789
tea@ucla.edu,USER,password,Tea,Tea's bio,123456789
carina@ucla.edu,USER,password,Carina,Carina's bio,123456789
dellar@ucla.edu,USER,password,Dellar,Dellar's bio,123456789
jerome@ucla.edu,USER,password,Jerome,Jerome's bio,123456789
